of	the	4333770	5362.295688197160
in	the	2597127	3213.498389116270
to	the	1465357	1813.127490099740
and	the	1009442	1249.011019063110
on	the	911360	1127.651397834990
for	the	755073	934.273090674885
by	the	717471	887.747076957593
at	the	662141	819.285709504325
with	the	655767	811.398979770959
from	the	615744	761.877394562534
as	a	609174	753.748148508531
is	a	547675	677.653703596033
as	the	497512	615.585610779148
to	be	478911	592.570069553805
of	a	464759	575.059401341286
in	a	417486	516.567186925628
the	first	391528	484.448622379235
is	the	375500	464.616726526335
that	the	363177	449.369131530372
such	as	346442	428.662444663746
with	a	319082	394.809146027899
one	of	310375	384.035729682054
was	a	303519	375.552607772428
In	the	288958	357.535872339805
was	the	282666	349.750603516093
and	a	273156	337.983612652537
part	of	259914	321.598913071547
to	a	253113	313.183844211079
he	was	250762	310.274885691603
of	his	244044	301.962515068956
United	States	231586	286.547880770513
it	was	228888	283.209569377256
the	United	225536	279.062045363098
during	the	221410	273.956829348058
has	been	217408	269.005042025666
can	be	214764	265.733546353400
for	a	212540	262.981728511071
as	well	212292	262.674871125775
It	is	212255	262.629089983614
the	same	211568	261.779045533219
it	is	201414	249.215215330427
known	as	198957	246.175100025300
have	been	195447	241.832078160832
number	of	189594	234.589996402221
and	was	184084	227.772318204724
well	as	179286	221.835617661786
into	the	178983	221.460707227332
by	a	174871	216.372813806622
He	was	166414	205.908729502406
It	was	166258	205.715706308430
on	a	160100	198.096239459031
had	been	158766	196.445643684900
due	to	150920	186.737566890425
the	most	150099	185.721720465716
after	the	149013	184.377982076881
New	York	147150	182.072839702664
in	his	138297	171.118773444507
is	also	136702	169.145235018916
and	in	135652	167.846040444076
the	city	135479	167.631982671269
and	is	133815	165.573068602188
that	he	131772	163.045207157998
which	was	129135	159.782372782898
which	is	129108	159.748964922402
to	have	128644	159.174844653139
under	the	123709	153.068630151388
did	not	123041	152.242094936157
end	of	122161	151.153246149623
a	new	121553	150.400950624382
is	an	119627	148.017856575675
over	the	117291	145.127457978696
as	an	115592	143.025237423787
in	which	114559	141.747077427777
has	a	112540	139.248911859584
between	the	112452	139.140026980931
out	of	107932	133.547303668283
is	not	107624	133.166206592997
through	the	106778	132.119426964125
would	be	106196	131.399301971213
based	on	106083	131.259483888397
was	also	104688	129.533411096109
of	its	104537	129.346574542965
of	their	104361	129.128804785659
more	than	103351	127.879103337479
had	a	101009	124.981280771501
when	the	98227	121.539033812256
may	be	98082	121.359621228112
was	not	94624	117.080940428303
used	to	94391	116.792642965505
University	of	89705	110.994523177217
from	a	89439	110.665393884924
use	of	88727	109.784416230365
According	to	88702	109.753483026202
a	number	88052	108.949219717968
to	his	87615	108.408507309201
The	first	86668	107.236757535511
member	of	86102	106.536429793264
World	War	85917	106.307524082458
During	the	85852	106.227097751635
for	his	85178	105.393138567404
at	a	84191	104.171895667054
At	the	84048	103.994957739242
There	are	83721	103.590351428792
along	with	82231	101.746732460685
within	the	82209	101.719511241021
he	had	82193	101.699713990357
that	it	81444	100.772955193637
in	an	80599	99.727412892932
used	in	80421	99.507168479293
where	he	78608	97.263892513401
into	a	78436	97.051072068761
against	the	77849	96.324760435016
but	the	76774	94.994632656013
up	to	75898	93.910733182146
became	the	75668	93.626147703847
was	an	75398	93.292069098888
most	of	75069	92.884988132105
they	were	75025	92.830545692778
there	is	73567	91.026521226000
a	large	72127	89.244768666218
with	his	71480	88.444217342483
able	to	70703	87.482813357101
a	few	69852	86.429847087397
became	a	69344	85.801284378807
